,Unnamed: 0,video_id,author,comment,comment_stem,vectores_tfidf,sentiment
11,11,WdtyLi2wBDs,UChxpI5Pa84TgzAeOAV9KXuw,"Sánchez a conseguido desprestigiar a la corona y Felipe ( no le llamo Rey por no tener lo que hay que tener ) lo que tiene que hacer como institución,  es posicionarse . De él depende quedarse solo y si calla para mi sería un TRAIDOR OPORTUNISTA POR SEGUIR UN TIEMPITO MAS EN ZARZUELA",nchez conseguido desprestigiar corona felip llamo tener tener hacer instituci posicionars depend quedars solo calla traidor oportunista seguir tiempito zarzuela,[0. 0. 0. ... 0. 0. 0.],-1.0
12,12,WdtyLi2wBDs,UCjIvxVZOL2RhM1tFScfisqw,"Bueno, si... Pero, el hijo, o hija, el futuro monarca ha sido educado e influenciado por la política, y los intereses de otros, pues... Seguramente algunos defectos, si que tendrá, no se, a lo mejor por los vestigios del modelo monárquico anterior está gente se suele juntar con gente de alta clase, ya sea por sangre o por dinero, y bueno, no se, es decir, hay gente que hace barbaridades por el dinero, solo hay que ver el tema de los opioides en Estados Unidos, no hablo de los que consumen, sino de quien los venden, que enferman y dejan gravemente adicto a una gran parte de la población, y como el fin de una empresa es ganar dinero, a toda costa, pues... Dejar adicta a la población a tu producto, se me hace una buena forma de ganar dinero. Por eso, yo creo que el liberalismo es pésima idea, al final todo será lo que más vende y no lo que más le conviene al pueblo, es posible que una monarquía favorezca a las empresas pero tiene sus consecuencias. De todas formas tiene un punto eso de que el que se ha preparado de pequeño sea el líder, bueno, tendremos que confiar en su educación que no a sido destinada para cierto fines, y de su nivel de inteligencia, que las cosas son así, a veces los chicos salen mal y no tienen ni la inteligencia promedio, y manda webos, como si nunca hubiera habido reyes malos, solo hay que ver al molesto vecino del frente (Francia) odiado y amado por partes iguales, que paso con la revolución francesa? La tan famosa reina que decía si los pobres no tienen para pan pues que compren pastel. No se, si vemos el panorama completo... No se yo, creo que la mejor opción no es",bueno hijo hija futuro monarca sido educado influenciado tica interes pue segurament defecto tendr mejor vestigio modelo rquico anterior gent suel juntar gent alta clase sangr dinero bueno decir gent hace barbaridad dinero solo tema opioid unido hablo consumen sino venden enferman dejan gravement adicto gran part poblaci empresa ganar dinero toda costa pue dejar adicta poblaci producto hace buena forma ganar dinero creo liberalismo sima idea final vend convien pueblo posibl monarqu favorezca empresa consecuencia toda forma punto preparado pequ bueno confiar educaci sido destinada cierto fine nivel inteligencia cosa vece chico salen inteligencia promedio manda webo nunca rey malo solo molesto vecino frent francia odiado amado part igual paso revoluci francesa famosa reina pobr pue compren pastel vemo panorama completo creo mejor opci,[0. 0. 0. ... 0. 0. 0.],0.0
13,13,WdtyLi2wBDs,UCKQ8UuNnkKBdA-zwBsikvQg,lastima dinero que te pagamos veste de ESPAÑA,lastima dinero pagamo vest espa,[0. 0. 0. ... 0. 0. 0.],0.0
14,14,WdtyLi2wBDs,UCmpgEygc7Dchd9gvCTOc3gw,Literal los impuestos en la monarquia eran como un 5%,liter impuesto monarquia,[0. 0. 0. ... 0. 0. 0.],0.0
15,15,WdtyLi2wBDs,UCU2QA4FACdO0fJpRNCd-Xfg,👏👏👏👏👏👏👏👏,,[0. 0. 0. ... 0. 0. 0.],
16,16,WdtyLi2wBDs,UCZ8evI8k1tPsRAfxByLoa8g,"Que mentalidad tan chiquita con estos tíos....nos roban de un lado y está mal,pero si nos roba el rey esta bien...la esclavitud en España se perpetúa.",mentalidad chiquita roban lado roba bien esclavitud espa perpet,[0. 0. 0. ... 0. 0. 0.],0.0
17,17,WdtyLi2wBDs,UC9lTKxXXhj74pvt_VOAWfVQ,"Si da un golpe encima de la mesa y nos libra del tirano y su caterva de sarnosos , seguiré siendo monárquico. De lo contrario, ya puede ir desfilando a Londres, con sus amigos masones",golp encima mesa libra tirano caterva sarnoso seguir siendo rquico contrario pued desfilando londr amigo mason,[0. 0. 0. ... 0. 0. 0.],-1.0
18,18,WdtyLi2wBDs,UCLfdkZk4Px0t8UMj2gGo2WQ,Y no estoy aa favor de la republica. Simplemente estoy de parte del progreso y si una sociedad no se vale por si misma sin necessidad de ser gobernado por nadie. Es una sociedad condenada,favor republica simplement part progreso sociedad vale misma necessidad gobernado nadi sociedad condenada,[0. 0. 0. ... 0. 0. 0.],-1.0
19,19,WdtyLi2wBDs,UCLfdkZk4Px0t8UMj2gGo2WQ,Tio muy mal,,[0. 0. 0. ... 0. 0. 0.],
20,20,4i2m9Z47ETc,UCz6C2VCUGK90FxX82MBrEpQ,Lo que demuestra la encuesta es la ignorancia más absoluta de la entrevistadora y de la mayoria de los entrevistados.,demuestra encuesta ignorancia absoluta entrevistadora mayoria entrevistado,[0. 0. 0. ... 0. 0. 0.],-1.0
21,21,4i2m9Z47ETc,UCzT5hSUdv1qk40obikDb5Ew,Para que sirve un Rey?,sirv,[0. 0. 0. ... 0. 0. 0.],0.0
22,22,4i2m9Z47ETc,UCgW7xHsCcD7fCUpo0g0OkeA,Jaja se nota que la mayoría no saben cómo funciona una monarquía ni saben que es una república,jaja nota mayor saben funciona monarqu saben blica,[0. 0. 0. ... 0. 0. 0.],0.0
23,23,4i2m9Z47ETc,UCvoOpGOmz8_fxg-xxVvOZMA,"¿Monarquía sí o no? No, ni de coña. (La rapidez con la que responden los primeros entrevistados, lo mejor)",monarqu rapidez responden primero entrevistado mejor,[0. 0. 0. ... 0. 0. 0.],0.0
24,24,4i2m9Z47ETc,UCBud1913ER992wNpIjcgB5A,"ese sueldo no se lo cree nadie..

La monarquia es una estupidez cuando sabemos que en el mundo juzgamos a dictadores pero estos monarcas son peores, son VIVIDORES.. TODOS en todos los paises con monarquia..",sueldo cree nadi monarquia estupidez sabemo mundo juzgamo dictador monarca peor vividor pais monarquia,[0. 0. 0. ... 0. 0. 0.],-1.0
25,25,4i2m9Z47ETc,UCLmL-Kr6GqzslmI6_gc45Eg,Monarquía: NO!,monarqu,[0. 0. 0. ... 0. 0. 0.],0.0
26,26,4i2m9Z47ETc,UCUivzTmOf_f8Wz33EqhJokg,"¿República como los países del tercer mundo?... No gracias.

La única república que ha funcionado es la de los Estados Unidos De América, ¿acaso quieren algo como México o las demás repúblicas de América latina?... Monarquía mil veces.",blica tercer mundo gracia nica blica funcionado unido rica acaso quieren xico blica rica latina monarqu vece,[0. 0. 0. ... 0. 0. 0.],0.0
27,27,4i2m9Z47ETc,UCFTuN-H2mYi-aXqQ0bHrzrQ,"🤣🤣🤣 siempre igual. Todos muy de izquierdas cuando somos jóvenes, para ponernos medallitas de buena persona y tal. Luego creces y vas viendo cómo la izquierda miente y arruina, y ya no eres tan de izquierdas. Una dice que no quiere pagar a gente que no haga nada 🤣, piensa en monarquía y se olvida de los miles de políticos en España. Al menos la familia real es una sola familia a la que mantener. Otra encuesta amañada de, por, y para charos",siempr igual izquierda vene ponerno medallita buena persona luego crece viendo izquierda mient arruina izquierda dice quier pagar gent haga piensa monarqu olvida mile tico espa meno familia real sola familia manten encuesta charo,[0. 0. 0. ... 0. 0. 0.],-1.0
28,28,4i2m9Z47ETc,UCGk3hqk34C0e-_goHYbRtmw,"Monarquía y política son lo mismo en españistan, ambos cobran sin hacer nada 😛",monarqu tica mismo espa istan ambo cobran hacer,[0. 0. 0. ... 0. 0. 0.],-1.0
29,29,4i2m9Z47ETc,UC2JBocUxefcEa0CniYkLQBw,"""que se votó en su momento"", primero que está chiquita se informe y luego opine!",momento primero chiquita inform luego opin,[0. 0. 0. ... 0. 0. 0.],0.0
30,30,4i2m9Z47ETc,UCbVzrHmrA8mOMLEuo_ZMpJg,"Que nadie engaña la Inés, se va a tal barrio y justo pregunta a gente que vota a Podemos y se ve de lejos.
Preguntales por el ejército y te dirán más infatiladas.",nadi enga barrio justo pregunta gent vota podemo lejo preguntal rcito infatilada,[0. 0. 0. ... 0. 0. 0.],-1.0
31,31,4i2m9Z47ETc,UC_yS1jebWCyMxLJK3o5Umwg,"El precio de la luz y el carburante por las nubes y éstos preocupados por la monarquía...

¿No os dais cuenta? ¡Se mean en vuestra cara y os dicen que llueve!",precio carburant nube sto preocupado monarqu dai cuenta mean cara dicen lluev,[0. 0. 0. ... 0. 0. 0.],-1.0
32,32,4i2m9Z47ETc,UCoZU_4gowDRFT6RyXiTHJnQ,"La payasa esa ""influencer"" o ""periodista"" o cualquiera que sea el título con el que trabaja y que creo que trabaja en la pública da auténtica PENA. Generación más formada.",payasa influenc periodista cualquiera tulo trabaja creo trabaja blica ntica pena generaci formada,[0. 0. 0. ... 0. 0. 0.],-1.0
33,33,4i2m9Z47ETc,UCPX5RdKviD4zsF4H7AVg-1w,"Andaluces de izquierdas: trabajadores, estudiantes, jornaleros, empleados públicos, ecologistas, defensores de los derechos humanos, pequeños autónomos, científicos, feministas, universitarios, maestros y profesores de la educación pública,sanitarios, comerciantes, cristianos de base, asalariados de grandes empresas,trabajadores del sector cultural, deportistas de base, trabajadores del turismo, de la hosteleria, del sector de energías renovables,  hombres y mujeres andaluces progresistas todos: hay que votar a la izquierda el 19 de junio a la opcion progresista de izquierdas que querrais, para que Andalucía sea una Comunidad de progreso, de educación, de trabajo, de cultura..cada voto de izquierdas cuenta...Ánimo!!!",andaluc izquierda trabajador estudiant jornalero empleado blico ecologista defensor derecho humano pequ nomo cient fico feminista universitario maestro profesor educaci blica sanitario comerciant cristiano base asalariado grand empresa trabajador sector cultur deportista base trabajador turismo hosteleria sector energ renov hombr mujer andaluc progresista votar izquierda junio opcion progresista izquierda querrai andaluc comunidad progreso educaci trabajo cultura cada voto izquierda cuenta nimo,[0. 0. 0. ... 0. 0. 0.],0.0
34,34,4i2m9Z47ETc,UCTpkc3UF0sEJJ7WZGj1vVcQ,Anda que si tienen que votar éstos monarquía o república...,anda votar sto monarqu blica,[0. 0. 0. ... 0. 0. 0.],-1.0
35,35,4i2m9Z47ETc,UCdyRzdlEw93UL9iSd9xQ2sQ,Ahora mismo el menor problema que tienen España es la monarquía florero que han montado. A los Borbones ya les tocará el turno de rendir cuentas...,ahora mismo menor problema espa monarqu florero montado borbon tocar turno rendir cuenta,[0. 0. 0. ... 0. 0. 0.],-1.0
36,36,4i2m9Z47ETc,UC8bculjskBm_oBu-kJxItPw,"Nadie ha respondido ni una función en el video, todos repiten la misma frase si te das cuenta, ""no hace nada"".",nadi respondido funci video repiten misma frase cuenta hace,[0. 0. 0. ... 0. 0. 0.],-1.0
37,37,4i2m9Z47ETc,UC8bculjskBm_oBu-kJxItPw,"Cuando la ciudadanía responde referendum no me parece mala idea pero acaso las nuevas generaciones no están adoctrinadas respecto a donde posicionarse en la monarquía, dime solo una persona 10 a 35 años que sepa enumerar algunas funciones del rey que aparezcan en la CE, ya te digo que ni el 10% sabría la respuesta, antes de intentar cambiar algo hay que informarse tanto si te gusta como si no.",ciudadan respond referendum parec mala idea acaso nueva generacion adoctrinada respecto posicionars monarqu dime solo persona sepa enumerar funcion aparezcan digo sabr respuesta intentar cambiar informars gusta,[0. 0. 0. ... 0. 0. 0.],-1.0
38,38,4i2m9Z47ETc,UCQ5G8Qiy3NvBOHSBVtTiu-w,Lo mas higienico seria un referendum.,higienico seria referendum,[0. 0. 0. ... 0. 0. 0.],0.0
39,39,4i2m9Z47ETc,UCEJgdMh_rQNtMLrELZW1vhw,Nunca podremos votar xd,nunca podremo votar,[0. 0. 0. ... 0. 0. 0.],-1.0
40,40,KzSlyGHjTX8,UCEoc2Zz6eGFdN6tzaGs6Q9w,XD básicamente Roma quiere un sistema como el de México... como mexicano les digo que mejor vuelvan a una monarquía como la que tenían antes del 78 y que sigo sin entender por qué el rey Juan Carlos la tiró a la basura.,sicament roma quier sistema xico mexicano digo mejor vuelvan monarqu sigo entend juan carlo basura,[0. 0. 0. ... 0. 0. 0.],-1.0
41,41,KzSlyGHjTX8,UCwFj-zibwvSl9aCtXb4aqWQ,"La monarquia es una dictadura pintada de rosas 🌹 que por pura propaganda y costumbres centenarias a perdurado pero ya en pleno 2024 eso debería de estar extinguido, todos debemos tener los mismos derechos en el mundo no porque seas apellido tal ya estés destinado a gobernar",monarquia dictadura pintada rosa pura propaganda costumbr centenaria perdurado pleno deber extinguido debemo tener mismo derecho mundo apellido destinado gobernar,[0. 0. 0. ... 0. 0. 0.],-1.0
42,42,KzSlyGHjTX8,UCiKRUZIZoCe6z06_pTs6Nmw,"A la vista está dados los acontecimientos de venidos los últimos días de que te equivocas. Presidentes patatas como el que tenemos que dice una cosa y a los tres días tras el vestido traiciona al país y perdonan. Los golpistas es acojonante. Y si ha pasado incluso con la monarquía, imagínate adonde se puede llegar sin ella. amén de que somos un país en el que sobran políticos ahorrillo. Se podría ahorrar mucho dinero si nos quitáramos a tantos mamones de en medio. Prefiero tener un rey y la mitad de los políticos con todos sus monasterios y las estupideces que no necesitamos. Que otros países no tienen, y funcionan a la perfección. gracias por el vídeo, pero no lo compro.",vista dado acontecimiento venido ltimo equivoca president patata dice cosa tre tra vestido traiciona perdonan golpista acojonant pasado incluso monarqu imag nate adond pued llegar sobran tico ahorrillo podr ahorrar dinero quit ramo tanto mamon medio prefiero tener mitad tico monasterio estupidec necesitamo funcionan perfecci gracia compro,[0. 0. 0. ... 0. 0. 0.],-1.0
43,43,KzSlyGHjTX8,UCkbMApNloZIcPCbJLpqge0g,"No porque se vote a los políticos de una institución hace de esta más perfecta o más funcional, por el contrario; la haríamos más proclive a la Demagogia. Si mañana votamos a los Jueces de una alta Corte ¿Qué votamos? Un criterio político por encima de principios constitucionales. La Oclocracia es tan peligrosa o incluso más peligrosa que la Oligarquía, de una clase dirigente incapaz se puede prescindir y deshacer rápido; pero la ignorancia de un pueblo es un mal que toma mucho tiempo curar. 

Att: Un Venezolano.",vote tico instituci hace perfecta funcion contrario amo procliv demagogia votamo juec alta cort votamo criterio tico encima principio constitucional oclocracia peligrosa incluso peligrosa oligarqu clase dirigent incapaz pued prescindir deshac pido ignorancia pueblo toma tiempo curar venezolano,[0. 0. 0. ... 0. 0. 0.],-1.0
44,44,KzSlyGHjTX8,UC_fHAdvtwwQISwuzaVN0FBw,Donde dice que aquí en España el poder lo tiene el Rey?,dice espa poder,[0. 0. 0. ... 0. 0. 0.],0.0
45,45,KzSlyGHjTX8,UCgW7xHsCcD7fCUpo0g0OkeA,"Mmm pues no estas viendo todas su aristas la ventaja de un rey es que el o ella se prepara durante toda su vida para gobernar no exite en teoría mejor gobernante que un rey pues este estudia durante toda su vida para ello a diferencia de cualquier otro político.
La culpa no es de la monarquía como la plantea y si es facil que un gobierno entre y destroce a un pais ejemplo Venezuela, Korea del norte, cualquier otro pais de LATAM te lo puede confiar como sus republicas representativas constitucionales no funcionan",pue viendo toda arista ventaja prepara toda vida gobernar exit teor mejor gobernant pue estudia toda vida ello diferencia cualquier tico culpa monarqu plantea facil gobierno destroc pai ejemplo venezuela korea nort cualquier pai latam pued confiar republica representativa constitucional funcionan,[0. 0. 0. ... 0. 0. 0.],0.0
46,46,KzSlyGHjTX8,UCwBGW8dNpuk5uJTm5I8_QTw,"La monarquía es lo mismo que el socialismo porque el rey es por herencia , solo que la monarquía se escucha más romántico qué decir socialismo",monarqu mismo socialismo herencia solo monarqu escucha ntico decir socialismo,[0. 0. 0. ... 0. 0. 0.],-1.0
47,47,KzSlyGHjTX8,UCMq51jQ3EBweqW6s6pbld8A,SÓLO PARA DEFENDER A LOS PODEROSOS.,defend poderoso,[0. 0. 0. ... 0. 0. 0.],0.0
48,48,KzSlyGHjTX8,UCMq51jQ3EBweqW6s6pbld8A,👑 BY THE FACE.SWALLOW PEOPLE 💰,face swallow peopl,[0. 0. 0. ... 0. 0. 0.],0.0
49,49,KzSlyGHjTX8,UCAJPS2S3yNW2RcNwgtgvW0w,Perdóname pero España no sería lo que es ahora sin los antepasados del Rey,perd name espa ahora antepasado,[0. 0. 0. ... 0. 0. 0.],0.0
50,50,KzSlyGHjTX8,UC_u5XM-vyN1x4nhakqpviMg,En México  ya  quisiéramos volver a tener  nuestra familia real 👑 y estar  bajo una corona cristiana religiosa que  obligue a los infieles a creer en Dios,xico quisi ramo volver tener familia real bajo corona cristiana religiosa obligu infiel creer dio,[0. 0. 0. ... 0. 0. 0.],0.0
51,51,KzSlyGHjTX8,UC6_VgCOLeeiU1oZy30LJOJg,"El rey no defiende a España. Deben eliminarse las autonomías, la monarquía y eliminar tambien a los partidos de extrema izquierda, proterroristas y cesecionistas",defiend espa deben eliminars autonom monarqu eliminar tambien partido extrema izquierda proterrorista cesecionista,[0. 0. 0. ... 0. 0. 0.],-1.0
52,52,KzSlyGHjTX8,UCkVrfjYi99Gm7O5bdTs-dWg,"Tengo un problema con el tema del exterior, cuando un gobierno es ""joven"", las naciones suelen desconfiar, en cambio, en la monarquía no hace mucha falta, los países desconfían menos, por ejemplo, cuando Sánchez fué a pedir a EEUU unas cosas, se las denegaron, en cambio, luego fué Felipe, y se las concedieron, entiendo que hay varias cosas que deberían cambiar en el sistema monárquico, pero una monarquía nos viene mejor que una república para relaciones exteriores, o eso creo yo, porfavor, si hay alguien en desacuerdo conmigo, por favor, lo podemos debatir de manera calmada y sin hostilidades",problema tema exterior gobierno joven nacion suelen desconfiar cambio monarqu hace mucha falta desconf meno ejemplo nchez pedir eeuu una cosa denegaron cambio luego felip concedieron entiendo varia cosa deber cambiar sistema rquico monarqu vien mejor blica relacion exterior creo porfavor alguien desacuerdo conmigo favor podemo debatir manera calmada hostilidad,[0. 0. 0. ... 0. 0. 0.],-1.0
53,53,KzSlyGHjTX8,UC12xU44H5P-Z46Z38eiHiFQ,"La Republica es 20 veces más cara
500 veces más corrupta
Tienen ideologias
Etcs x1000 xD",republica vece cara vece corrupta ideologia etc,[0. 0. 0. ... 0. 0. 0.],-1.0
54,54,KzSlyGHjTX8,UC12xU44H5P-Z46Z38eiHiFQ,"Monarquía mil veces, aparte que sale mucho más barato, da más prestigio,mejor tener ahí una dinastía que va a estar toda su vida ahi a no que un presidente q va a estar 4 años i se va a ir hará todo el dinero q pueda I luego otro I así todos los q pasen, en cambio la monarquía al estar toda su vida tiene más responsabilidades a la larga",monarqu vece apart sale barato prestigio mejor tener dinast toda vida president dinero pueda luego pasen cambio monarqu toda vida responsabilidad larga,[0. 0. 0. ... 0. 0. 0.],0.0
55,55,KzSlyGHjTX8,UCq_5LSvXERQZSgEiKWt0CXg,viva el rey!,viva,[0. 0. 0. ... 0. 0. 0.],0.0
56,56,KzSlyGHjTX8,UC12xU44H5P-Z46Z38eiHiFQ,"No es por nada pero decir de quitar la monarquía porque nos cuesta dinero es de subnormales de gente muy cortita, el rey cobra 250.000 mil al año la reina la hija,los viajes bla bla bla juntas todo i sale por 4 céntimos al año a cada español, yo creo q por 4 céntimos al año merece la pena tener monarquía xd",decir quitar monarqu cuesta dinero subnormal gent cortita cobra reina hija viaj junta sale ntimo cada espa creo ntimo merec pena tener monarqu,[0. 0. 0. ... 0. 0. 0.],-1.0
57,57,KzSlyGHjTX8,UCnOmEnfR3ZbULPYJ79io1NA,Viva Felipe VI !,viva felip,[0. 0. 0. ... 0. 0. 0.],1.0
58,58,KzSlyGHjTX8,UCopbQKbyyLII_YEqaq_-UBQ,Argentina es una republica y tiene tres Poderes judicial poder legislativo y poder ejecutivo todos por separados ninguno se sobrepone sobre otra . Cada una cumple su trabajo y son poderes independientes,argentina republica tre poder judici poder legislativo poder ejecutivo separado ninguno sobrepon cada cumpl trabajo poder independient,[0. 0. 0. ... 0. 0. 0.],0.0
59,59,KzSlyGHjTX8,UCMErPMTjLGqNwELWHLeXqFw,Yo también sois de lo que piensa que un rey que pinta nada si hace muchimo más un presidente un rey vive como quiere por la cara sin hacer nada el y su familia hijos hermanos primos en fin,tambi piensa pinta hace muchimo president vive quier cara hacer familia hijo hermano primo,[0. 0. 0. ... 0. 0. 0.],0.0
60,60,WGC0RtlEIUY,UC_Q7-uOJy3BPWjKNdATqrag,"📌PARA APOYAR AL CANAL: https://www.patreon.com/RubenHoodofSpain
📌PARA ADQUIRIR MI LIBRO: envíame un correo aquí: rubenhoodofspain@gmail.com",apoyar canal http patreon rubenhoodofspain adquirir libro correo rubenhoodofspain gmail,[0. 0. 0. ... 0. 0. 0.],0.0
61,61,WGC0RtlEIUY,UC_fHAdvtwwQISwuzaVN0FBw,Entonces por qué se hizo una ley en defensa de la República? Eso es muy democrático claro. Y los logros que mencionas algunos los realizó la derecha so inculto.,entonc hizo defensa blica democr tico claro logro menciona realiz derecha inculto,[0. 0. 0. ... 0. 0. 0.],-1.0
62,62,WGC0RtlEIUY,UCgW7xHsCcD7fCUpo0g0OkeA,Una república no es la respuesta para España,blica respuesta espa,[0. 0. 0. ... 0. 0. 0.],0.0
63,63,WGC0RtlEIUY,UCgW7xHsCcD7fCUpo0g0OkeA,No cabe la duda que en los comentarios la mayoría no entiende como funciona una monarquía contemporánea,cabe duda comentario mayor entiend funciona monarqu contempor,[0. 0. 0. ... 0. 0. 0.],0.0
64,64,WGC0RtlEIUY,UCLausDKU2uutThc4CAjyFdw,"Claro, a los ricos no les conviene que tengan que tratar al trabajador con respeto y pagarles bien su salario, y su gobierno debe hacer su trabajo sirviendo al pueblo, por eso no les gusta la república, pero un día la monarquía caerá y España será libre!",claro rico convien tratar trabajador respeto pagarl bien salario gobierno debe hacer trabajo sirviendo pueblo gusta blica monarqu caer espa libr,[0. 0. 0. ... 0. 0. 0.],0.0
