,video_id,author,comment,vectores_tfidf,comment_stem,sentiment
40,KzSlyGHjTX8,UCEoc2Zz6eGFdN6tzaGs6Q9w,XD básicamente Roma quiere un sistema como el de México... como mexicano les digo que mejor vuelvan a una monarquía como la que tenían antes del 78 y que sigo sin entender por qué el rey Juan Carlos la tiró a la basura.,[0. 0. 0. ... 0. 0. 0.],sicament roma quier sistema xico mexicano digo mejor vuelvan monarqu sigo entend juan carlo basura,-1.0
41,KzSlyGHjTX8,UCwFj-zibwvSl9aCtXb4aqWQ,"La monarquia es una dictadura pintada de rosas 🌹 que por pura propaganda y costumbres centenarias a perdurado pero ya en pleno 2024 eso debería de estar extinguido, todos debemos tener los mismos derechos en el mundo no porque seas apellido tal ya estés destinado a gobernar",[0. 0. 0. ... 0. 0. 0.],monarquia dictadura pintada rosa pura propaganda costumbr centenaria perdurado pleno deber extinguido debemo tener mismo derecho mundo apellido destinado gobernar,-1.0
42,KzSlyGHjTX8,UCiKRUZIZoCe6z06_pTs6Nmw,"A la vista está dados los acontecimientos de venidos los últimos días de que te equivocas. Presidentes patatas como el que tenemos que dice una cosa y a los tres días tras el vestido traiciona al país y perdonan. Los golpistas es acojonante. Y si ha pasado incluso con la monarquía, imagínate adonde se puede llegar sin ella. amén de que somos un país en el que sobran políticos ahorrillo. Se podría ahorrar mucho dinero si nos quitáramos a tantos mamones de en medio. Prefiero tener un rey y la mitad de los políticos con todos sus monasterios y las estupideces que no necesitamos. Que otros países no tienen, y funcionan a la perfección. gracias por el vídeo, pero no lo compro.",[0. 0. 0. ... 0. 0. 0.],vista dado acontecimiento venido ltimo equivoca president patata dice cosa tre tra vestido traiciona perdonan golpista acojonant pasado incluso monarqu imag nate adond pued llegar sobran tico ahorrillo podr ahorrar dinero quit ramo tanto mamon medio prefiero tener mitad tico monasterio estupidec necesitamo funcionan perfecci gracia compro,-1.0
43,KzSlyGHjTX8,UCkbMApNloZIcPCbJLpqge0g,"No porque se vote a los políticos de una institución hace de esta más perfecta o más funcional, por el contrario; la haríamos más proclive a la Demagogia. Si mañana votamos a los Jueces de una alta Corte ¿Qué votamos? Un criterio político por encima de principios constitucionales. La Oclocracia es tan peligrosa o incluso más peligrosa que la Oligarquía, de una clase dirigente incapaz se puede prescindir y deshacer rápido; pero la ignorancia de un pueblo es un mal que toma mucho tiempo curar. 

Att: Un Venezolano.",[0. 0. 0. ... 0. 0. 0.],vote tico instituci hace perfecta funcion contrario amo procliv demagogia votamo juec alta cort votamo criterio tico encima principio constitucional oclocracia peligrosa incluso peligrosa oligarqu clase dirigent incapaz pued prescindir deshac pido ignorancia pueblo toma tiempo curar venezolano,-1.0
46,KzSlyGHjTX8,UCwBGW8dNpuk5uJTm5I8_QTw,"La monarquía es lo mismo que el socialismo porque el rey es por herencia , solo que la monarquía se escucha más romántico qué decir socialismo",[0. 0. 0. ... 0. 0. 0.],monarqu mismo socialismo herencia solo monarqu escucha ntico decir socialismo,-1.0
51,KzSlyGHjTX8,UC6_VgCOLeeiU1oZy30LJOJg,"El rey no defiende a España. Deben eliminarse las autonomías, la monarquía y eliminar tambien a los partidos de extrema izquierda, proterroristas y cesecionistas",[0. 0. 0. ... 0. 0. 0.],defiend espa deben eliminars autonom monarqu eliminar tambien partido extrema izquierda proterrorista cesecionista,-1.0
52,KzSlyGHjTX8,UCkVrfjYi99Gm7O5bdTs-dWg,"Tengo un problema con el tema del exterior, cuando un gobierno es ""joven"", las naciones suelen desconfiar, en cambio, en la monarquía no hace mucha falta, los países desconfían menos, por ejemplo, cuando Sánchez fué a pedir a EEUU unas cosas, se las denegaron, en cambio, luego fué Felipe, y se las concedieron, entiendo que hay varias cosas que deberían cambiar en el sistema monárquico, pero una monarquía nos viene mejor que una república para relaciones exteriores, o eso creo yo, porfavor, si hay alguien en desacuerdo conmigo, por favor, lo podemos debatir de manera calmada y sin hostilidades",[0. 0. 0. ... 0. 0. 0.],problema tema exterior gobierno joven nacion suelen desconfiar cambio monarqu hace mucha falta desconf meno ejemplo nchez pedir eeuu una cosa denegaron cambio luego felip concedieron entiendo varia cosa deber cambiar sistema rquico monarqu vien mejor blica relacion exterior creo porfavor alguien desacuerdo conmigo favor podemo debatir manera calmada hostilidad,-1.0
53,KzSlyGHjTX8,UC12xU44H5P-Z46Z38eiHiFQ,"La Republica es 20 veces más cara
500 veces más corrupta
Tienen ideologias
Etcs x1000 xD",[0. 0. 0. ... 0. 0. 0.],republica vece cara vece corrupta ideologia etc,-1.0
56,KzSlyGHjTX8,UC12xU44H5P-Z46Z38eiHiFQ,"No es por nada pero decir de quitar la monarquía porque nos cuesta dinero es de subnormales de gente muy cortita, el rey cobra 250.000 mil al año la reina la hija,los viajes bla bla bla juntas todo i sale por 4 céntimos al año a cada español, yo creo q por 4 céntimos al año merece la pena tener monarquía xd",[0. 0. 0. ... 0. 0. 0.],decir quitar monarqu cuesta dinero subnormal gent cortita cobra reina hija viaj junta sale ntimo cada espa creo ntimo merec pena tener monarqu,-1.0
61,WGC0RtlEIUY,UC_fHAdvtwwQISwuzaVN0FBw,Entonces por qué se hizo una ley en defensa de la República? Eso es muy democrático claro. Y los logros que mencionas algunos los realizó la derecha so inculto.,[0. 0. 0. ... 0. 0. 0.],entonc hizo defensa blica democr tico claro logro menciona realiz derecha inculto,-1.0
69,WGC0RtlEIUY,UCu8xJ0FgMaxXRUwggX3XDmw,"Los humanos somos todos iguales, por tanto, no puede haber kunas familias, endiosadas que parasitan al resto de los ciudadanos, así que  aun siendo imperfecta la republica, si que es más humana, y no endiosa a  los ciudadano. simplemente igualdad  en privilegios y deberes.",[0. 0. 0. ... 0. 0. 0.],humano igual pued haber kuna familia endiosada parasitan resto ciudadano siendo imperfecta republica humana endiosa ciudadano simplement igualdad privilegio deber,-1.0
70,WGC0RtlEIUY,UCTTF0e8VvbhgGmdxo64Gurw,"Que bien la quema de combentos, persecucion religiosa, la revuelta de asturias y la violencia politica. España no es un pais de republicas. Nunca habra una republica que funcione en españa",[0. 0. 0. ... 0. 0. 0.],bien quema combento persecucion religiosa revuelta asturia violencia politica espa pai republica nunca habra republica funcion espa,-1.0
73,WGC0RtlEIUY,UCGD5amzAcferMTz_540reVQ,monarquia porque al jefe de estado se le prepara desde pequeño a los politicos no,[0. 0. 0. ... 0. 0. 0.],monarquia jefe prepara pequ politico,-1.0
74,WGC0RtlEIUY,UCnCc2hoKoiymztIzJ3rgSzA,La segunda República fue horrible a poco que leas un poco sobre ella,[0. 0. 0. ... 0. 0. 0.],segunda blica horribl lea,-1.0
75,WGC0RtlEIUY,UC01CvkzTTdrkmLtCcmACvBw,"Ancianos que vivieron en dictadura: Necesitáis una república, por vuestro futuro.
Jóvenes de hoy en día: FRANCO FRANCO FRANCO FRANCO",[0. 0. 0. ... 0. 0. 0.],anciano vivieron dictadura necesit blica futuro vene franco franco franco franco,-1.0
87,4mMkLK7khPY,UCApJd3w-i1TXXJewGlxeW9g,Ua debe de acabar esas cosas.,[0. 0. 0. ... 0. 0. 0.],debe acabar cosa,-1.0
88,4mMkLK7khPY,UCvVYJUKL_0lzGxSAOz697DQ,"Ancianos Monarquía, que Jóvenes República.",[0. 0. 0. ... 0. 0. 0.],anciano monarqu vene blica,-1.0
89,4mMkLK7khPY,UC7wmrcqQyasktlc4_ur-H6g,Lloro con el que dice que la Guerra Civil fue por culpa de la república.,[0. 0. 0. ... 0. 0. 0.],lloro dice guerra civil culpa blica,-1.0
90,4mMkLK7khPY,UCm1UJlRFcKm1JAPjRIM2tSw,Los jóvenes quieren más república que algunos viejos,[0. 0. 0. ... 0. 0. 0.],vene quieren blica viejo,-1.0
97,4mMkLK7khPY,UCUKy1P6brTHtuS5H8sYq9aQ,"Yo prefiero republica, q se vote el jefe de estado, no que sea hereditario, y este rey lo esta haciendo bien no me importaría votarlo",[0. 0. 0. ... 0. 0. 0.],prefiero republica vote jefe hereditario haciendo bien importar votarlo,-1.0
98,4mMkLK7khPY,UCjKU_2ELBRUo0v7cwicFCSQ,Republica por dios la modelito q se compre sus vestido con su dinero fuera reina de pacotilla,[0. 0. 0. ... 0. 0. 0.],republica dio modelito compr vestido dinero reina pacotilla,-1.0
101,S1-wpBi4uDM,UC6ehzYMmiQ3R1nRvyOp6Ffw,La monarquía deben caer,[0. 0. 0. ... 0. 0. 0.],monarqu deben caer,-1.0
102,S1-wpBi4uDM,UC6_VgCOLeeiU1oZy30LJOJg,"La Monarquía española debe acabar. No hacen nada, Felipe 6 ni siquiera defiende a España frente a los que la quieren desmembrar",[0. 0. 0. ... 0. 0. 0.],monarqu espa debe acabar hacen felip siquiera defiend espa frent quieren desmembrar,-1.0
104,S1-wpBi4uDM,UChQ6PULsGmzB-fzz-j8ilTA,"Querer una República en España es obsceno , asqueroso y anti Democrático .Es como haberle disparado a una persona dos veces distintas para ver si les hacía daño y después de que casi mueren de hemorragia en ambos casos , querer meterles un tercer tiro diciendo ""Este seguro lo deja en buena forma"" .Los Españoles dos veces se sumieron en falsas Repúblicas y dos veces pidieron el retorno de los Monarcas legítimos .Querer ""República"" es querer cagarse en la voluntad popular y querer matar a España (Que ya las Repúblicas mucha sangre derramaron) .España ha tenido Reyes desde al menos 1200 años y estos la han visto convertirse en el Imperio más grande de la historia .Son el símbolo de la Unidad Cultural y Nacional de una Patria ancestral y grande .

Desde Argentina , una nación que tristemente dejó de ser gobernada por los Reyes de España , grito yo: VIVA EL REY DON FELIPE VI .",[0. 0. 0. ... 0. 0. 0.],querer blica espa obsceno asqueroso anti democr tico haberl disparado persona vece distinta despu casi mueren hemorragia ambo caso querer meterl tercer tiro diciendo seguro deja buena forma espa ole vece sumieron falsa blica vece pidieron retorno monarca timo querer blica querer cagars voluntad popular querer matar espa blica mucha sangr derramaron espa rey meno visto convertirs imperio grand historia mbolo unidad cultur nacion patria ancestr grand argentina naci tristement gobernada rey espa grito viva felip,-1.0
105,S1-wpBi4uDM,UCaliid0ZYV1-6lmpMjypXpQ,Valen verga de la mano todos los españoles,[0. 0. 0. ... 0. 0. 0.],valen verga mano espa ole,-1.0
108,S1-wpBi4uDM,UCJ_cv92011ij0MxXSdSqMhQ,Abajo la monarquía,[0. 0. 0. ... 0. 0. 0.],abajo monarqu,-1.0
109,S1-wpBi4uDM,UCJQMQlkO13vDEIBAzy1oG8g,"Para que este liderada por estos analfabetos y catetos, mejor seguir en una monarquia parlamentaria que no ha sido obstaculo para que España haya podido convertirse en una de las naciones mas democraticas del mundo en apenas 30 años, y mira que lo dife un republicano pero leal a la bandera rojigualda que es la legitima que lleva siendo oficial desde 1785",[0. 0. 0. ... 0. 0. 0.],liderada analfabeto cateto mejor seguir monarquia parlamentaria sido obstaculo espa podido convertirs nacion democratica mundo apena mira dife republicano leal bandera rojigualda legitima lleva siendo ofici,-1.0
110,S1-wpBi4uDM,UCGOC7bmVnx8FsJRdTLOIKAQ,España es una dictadura monárquico-fascista. FUERA NAZIS. *ACCIÓN ANTIFASCISTA* ⚫⚫☆❤❤,[0. 0. 0. ... 0. 0. 0.],espa dictadura rquico fascista nazi acci antifascista,-1.0
111,S1-wpBi4uDM,UC26aXa2nDLn4XRNmHheek2w,Muerte a los Borbones,[0. 0. 0. ... 0. 0. 0.],muert borbon,-1.0
112,S1-wpBi4uDM,UCvIyryVCWi3VjXuJAsr8WBA,_Yo pienso que no debería existir República en un pueblo ignorante_,[0. 0. 0. ... 0. 0. 0.],pienso deber existir blica pueblo ignorant,-1.0
123,nznqqPKN3gM,UC2qURi4h5kcnnyrWmBE624w,Es verdad que un presidente (y mas los cutres de ahora)nunca va a mirar ni a medio plazo. Un rey puede ser que si,[0. 0. 0. ... 0. 0. 0.],verdad president cutr ahora nunca mirar medio plazo pued,-1.0
124,nznqqPKN3gM,UCZS0ncHGeZ1aVDACFDn5uqA,Debería Goorgo dejar hablar más s los invitados y respetarlos cuando hablan porque es muy pesado todo el rato interviniendo. Hazle la pregunta que quieres cuando acabe pero no le interrumpas.,[0. 0. 0. ... 0. 0. 0.],deber goorgo dejar hablar invitado respetarlo hablan pesado rato interviniendo hazl pregunta quier acab interrumpa,-1.0
126,nznqqPKN3gM,UCw1mwBWPIlV9c0UArKVJ4IQ,yo llevo años pensando asi.. .. . . porque mierda no se hace un referendum para ver si queremos tener reyes o no ? en el 2022.. . .. y + de la mitad de españa no quiere tener rey....,[0. 0. 0. ... 0. 0. 0.],llevo pensando mierda hace referendum queremo tener rey mitad espa quier tener,-1.0
127,nznqqPKN3gM,UC176LNYFnRjzr86rPoxwScQ,Que arrogante bua que fantasma,[0. 0. 0. ... 0. 0. 0.],arrogant fantasma,-1.0
129,nznqqPKN3gM,UCjO5dHa_iJoSUX6EYyivDQA,Vaya cara hogaza q tiene este personaje,[0. 0. 0. ... 0. 0. 0.],vaya cara hogaza personaj,-1.0
134,nznqqPKN3gM,UCVgdLCpR0flCsM_HcxYgvZQ,Pensaba q el gorgoo era un tontin y habla bn el payo,[0. 0. 0. ... 0. 0. 0.],pensaba gorgoo tontin habla payo,-1.0
135,nznqqPKN3gM,UC-g5LjFLKPRP8lOnO0cIzMQ,vaya cara de viejoven tiene el de la camisa negra que mal royo parece mi abuelo,[0. 0. 0. ... 0. 0. 0.],vaya cara viejoven camisa negra royo parec abuelo,-1.0
136,nznqqPKN3gM,UCFyqI_26vCAbiczHPiMwd1w,que opina sobre las chavalas de 16?,[0. 0. 0. ... 0. 0. 0.],opina chavala,-1.0
137,nznqqPKN3gM,UCZoLq1w9Eue9EHJBjigrZOw,El goorgo me parece un poco... Nose ¿pesadito?,[0. 0. 0. ... 0. 0. 0.],goorgo parec nose pesadito,-1.0
138,nznqqPKN3gM,UCtiXtO20B6aMHC58uPdm0IA,con la d jugo q le podrian haber sacado y solo hicieron q cortarle hahaha,[0. 0. 0. ... 0. 0. 0.],jugo podrian haber sacado solo hicieron cortarl hahaha,-1.0
141,5vxqIPYVC8U,UC8PxQP4VUHoXu1TseT_JyZQ,Tanta pobreza que hay en españa deben de eliminarlas,[0. 0. 0. ... 0. 0. 0.],tanta pobreza espa deben eliminarla,-1.0
143,5vxqIPYVC8U,UCyxnmLIkJp8xXIjNL6kGcHQ,No dejaste claro que papel juega el rey en España,[0. 0. 0. ... 0. 0. 0.],dejast claro papel juega espa,-1.0
149,5vxqIPYVC8U,UC4sJP_rFc8g8tl1Gf0Dk69A,"Cómo dicen redes sociales en pleno siglo XXI vivimos en una época moderna todavía la gente piensa en una edad antigua en duendes,reinitas,reicitos,princesitas,infantas ahora son épocas modernas",[0. 0. 0. ... 0. 0. 0.],dicen rede social pleno siglo vivimo poca moderna todav gent piensa edad antigua duend reinita reicito princesita infanta ahora poca moderna,-1.0
151,5vxqIPYVC8U,UCIAD0zt1Z30nb51-3htpmZw,"<3 me ha encantado gracias  , yo personalmente digo no a la monarquía ni al abuso de poder",[0. 0. 0. ... 0. 0. 0.],encantado gracia personalment digo monarqu abuso poder,-1.0
152,5vxqIPYVC8U,UCeabEm6vv2g5fBEX1VmHiVg,"Creo que es mas profundo, seguro y benéfico tener un rey. Mírate en el espejo de las repúblicas americanas. Todas ellas son mas permeables, mas manejables mas corrompibles desde intenciones foráneas, y te digo mas, son mucho mas caras. Pueblos con inagotables recursos son facilmente manipulados y sus políticos son facilmente corrompidos y extorsionados. Un rey aporta aplomo, seriedad, ofuscación, complejidad; sutilezas que (al igual que la religión) protejen, contienen, ponen límites y dificultades a la violación de la autodeterminación de una nación. Creo que se están tratando de romper la religión y la monarquía, con métodos directos e indirectos, subliminales y desfachatados, para que seamos mas fáciles de rendir.
Aclaro que soy una española peninsular radicada en Argentina. Vivo a las dos patrias como ""la mía"". Y Aunque no me guste como veo de acorralado a mi Rey, Estoy convencida que es mejor un mal rey que ningún rey",[0. 0. 0. ... 0. 0. 0.],creo profundo seguro fico tener rate espejo blica americana toda permeabl manej corromp intencion nea digo cara pueblo inagot recurso facilment manipulado tico facilment corrompido extorsionado aporta aplomo seriedad ofuscaci complejidad sutileza igual religi protejen contienen ponen mite dificultad violaci autodeterminaci naci creo tratando romper religi monarqu directo indirecto subliminal desfachatado cile rendir aclaro espa peninsular radicada argentina vivo patria aunqu gust acorralado convencida mejor ning,-1.0
157,5vxqIPYVC8U,UC2ojfUxGFgwU1dMr6Q5TTnw,Que bien se ataron los chorizos para desgracia del pueblo,[0. 0. 0. ... 0. 0. 0.],bien ataron chorizo desgracia pueblo,-1.0
158,5vxqIPYVC8U,UCJ-NAij0NwrUoX_rDdYpZIQ,"España prácticamente es una república, por lo menos desde hace 48 años. Desgraciadamente el rey no tiene poder alguno es sólo un personaje simbólico",[0. 0. 0. ... 0. 0. 0.],espa cticament blica meno hace desgraciadament poder alguno personaj simb lico,-1.0
161,eYvG3W6j8sU,UCL5JLyS1sPR7sTnaf6fMFuA,"El útil a España eres tú, sarnoso. Debes sentarte ante el juez  por tu gran gestión en las residencias desde el 19 de marzo de 2020 que te hiciste cargo públicamente de las residencias",[0. 0. 0. ... 0. 0. 0.],espa sarnoso debe sentart juez gran gesti residencia marzo hicist cargo blicament residencia,-1.0
163,eYvG3W6j8sU,UCHh0tPUXvgB8iLhOsUoZ-uw,"Seamos honesto, de verdad hay alguien en este país que le preocupe el gasto de la monarquia?  La monarquia tiene un presupuesto anual de 8 millones, y sin embargo el ""Ministerio de igualdad"" de la duquesa de Galapagar, tiene un presupuesto de mas de 400 millones al año.  Saben cuantas monarquias podríamos mantener en España al año con 400 millones?  Realmente las mujeres en España les ha cambado la vida desde el 2019 con este ministerio?  Vamos Srs. seamos mas sensatos que los que nos roban son todos estos politicos de cuarta que padecemos.",[0. 0. 0. ... 0. 0. 0.],honesto verdad alguien preocup gasto monarquia monarquia presupuesto anual millon embargo ministerio igualdad duquesa galapagar presupuesto millon saben cuanta monarquia podr amo manten espa millon realment mujer espa cambado vida ministerio vamo sensato roban politico cuarta padecemo,-1.0
164,eYvG3W6j8sU,UC3gfsdY0hkBamLlFsMIg8VQ,"La Monarquía como no hace nada no puede ser responsable del paro, la deuda pública, del deficit público y de tantos males que debe afrontar España. Ni un solo Organismo económico público o privado, nacional o internacional señala a la Corona como causante de los desequilibrios de la economía española. Por favor....no engañen...",[0. 0. 0. ... 0. 0. 0.],monarqu hace pued respons paro deuda blica deficit blico tanto male debe afrontar espa solo organismo econ mico blico privado nacion internacion corona causant desequilibrio econom espa favor enga,-1.0
170,eYvG3W6j8sU,UC8kkaPxplkldT-rw0yvPnXA,"Este Pablo Iglesias nem sabe o que diz! Espanha está muito bem com a Monarquia que tem!  Tenha juízo Sr.Iglesias, nos em Portugal gastamos muito mais dinheiro com a maldita república portuguesa,!",[0. 0. 0. ... 0. 0. 0.],pablo iglesia sabe espanha muito monarquia tenha iglesia portug gastamo muito mai dinheiro maldita blica portuguesa,-1.0
177,eYvG3W6j8sU,UCddc_7qtFM58YWiFKwQFepg,"Yo paso de pagarle todos los meses a la casa de un tipo que ha robado y no es culpable, 
 y que en tiempos de crisis optó por ir de caza, y lo peor en mi opinión es que su hijo sea el rey y nada ni nadie haya votado por ello...



pdt: el rey no es el único que ha robado, también tenemos a Urdangarín y nosecuantos más tras el telón de mierda
VIVA LA DEMOCRACIA, LA REPÚBLICA Y EL SOCIALISMO",[0. 0. 0. ... 0. 0. 0.],paso pagarl mese casa tipo robado culpabl tiempo crisi caza peor opini hijo nadi votado ello nico robado tambi urdangar nosecuanto tra mierda viva democracia blica socialismo,-1.0
178,eYvG3W6j8sU,UCqHkUKy5sCbiMAgv8e5JZPw,Estas son las personas que dividen los pueblos ya que se hacen virales con ideas de gente que quiere dividir España y quiere verla destruida,[0. 0. 0. ... 0. 0. 0.],persona dividen pueblo hacen viral idea gent quier dividir espa quier verla destruida,-1.0
187,xlyo1GcJ0wM,UCm0Xh9V08mu86cLWFRKKIxA,Ni monarquía por que viven del cuento y del pueblo y republica menos por que la primera acabo en hambruna y la segunda en una guerra civil,[0. 0. 0. ... 0. 0. 0.],monarqu viven cuento pueblo republica meno primera acabo hambruna segunda guerra civil,-1.0
188,xlyo1GcJ0wM,UCFHdF-XZ8UNKfegNE-H3p1g,"deberia hacerse un referendum. Un institucion absurda, letizia seguro era anti monárquica....a leonor le hariamos un favor vaya trabjo tan pesado y nada libre , y ahorraríamos mucho dinero el pueblo,.....",[0. 0. 0. ... 0. 0. 0.],deberia hacers referendum institucion absurda letizia seguro anti rquica leonor hariamo favor vaya trabjo pesado libr ahorrar amo dinero pueblo,-1.0
190,xlyo1GcJ0wM,UC5s-blXlyHgeVVCT0XUDhzw,"Ellos solo son educados para mantenerse viviendo del pueblo, me imagino la ideologia con la que estan siendo educadas, las hijas del Rey, ""Nada ni nadie puede pasar por encima de ti, eres inticable""",[0. 0. 0. ... 0. 0. 0.],solo educado manteners viviendo pueblo imagino ideologia estan siendo educada hija nadi pued pasar encima intic,-1.0
200,mIje9K8t_Sc,UCQYKDKLWrXERXU5CvckGdRw,"Para la playa Leticia, se ha dedicado a modelar, ante la pobreza  y vive con dinero del estado",[0. 0. 0. ... 0. 0. 0.],playa leticia dedicado modelar pobreza vive dinero,-1.0
