,video_id,author,comment,vectores_tfidf,comment_stem,sentiment
28,i_t19HsTKZo,UCw5I1UpGNtu6zkYkktCovAw,"Perfecto, lo qué ha creado Ho está aprobando es la negociación de problemas de género, unos castigo muy corto, tienen qué ser largo, para qué A Así se cambie, y Así mismo se tenga qué pensar Al acerlo, CLARO Hoy en la cárcel,Alos pocos días fuera, La Mismo ciudadanía nos damos cuenta ésa estrategia política. 0:46",[0. 0. 0. ... 0. 0. 0.],perfecto creado aprobando negociaci problema nero castigo corto largo cambi mismo pensar acerlo claro rcel alo poco mismo ciudadan damo cuenta estrategia tica,0.0
30,i_t19HsTKZo,UCZFOe1PhitBx2FCEkh_SPlQ,Chiste mal,[0. 0. 0. ... 0. 0. 0.],chist,0.0
34,i_t19HsTKZo,UCGxJ9g1E-VChwHBqMkBKnyg,La ley no soluciona nada para que una ley funcione se debería reforzar con educación,[0. 0. 0. ... 0. 0. 0.],soluciona funcion deber reforzar educaci,0.0
36,i_t19HsTKZo,UC1BXU9aG_twOwgg6829XYhg,Abascal yaporsi es tranquilo hablando porque notiene nada que esconder por eso me gusta como se expresa halaora de entrevistalo,[0. 0. 0. ... 0. 0. 0.],abasc yaporsi tranquilo hablando notien escond gusta expresa halaora entrevistalo,0.0
37,i_t19HsTKZo,UC1BXU9aG_twOwgg6829XYhg,"Los voladores no debería salir nialtrancodela puerta, yahorasecambiadesexso yde identidadparanoreconocerlo",[0. 0. 0. ... 0. 0. 0.],volador deber salir nialtrancodela puerta yahorasecambiadesexso identidadparanoreconocerlo,0.0
42,I4TSXVPr8_8,UCL5aQvUXZPznRvFQbO5iPKQ,La violencia de género NO EXISTE,[0. 0. 0. ... 0. 0. 0.],violencia nero exist,0.0
43,I4TSXVPr8_8,UCmQhCCXFJv-UoJRrodVx_SA,"La violencia no tiene género,",[0. 0. 0. ... 0. 0. 0.],violencia nero,0.0
46,I4TSXVPr8_8,UCXpQTGmnG_KN_CZfySi39PA,eso no es violencia de género pero bueno,[0. 0. 0. ... 0. 0. 0.],violencia nero bueno,0.0
47,I4TSXVPr8_8,UCalG9rxTzypddszmvo5Q0BA,"Si, pretenden llamar empoderamiento a su idea infantil y sin ningún mérito, atropellando los derechos de los hombres tomando, más bien robando los puestos, ya sean políticos o laborales simplemente por no tener npe, hablan hipócritamentente de igualdad para encubrir su verdadero objetivo, tomar posiciones de poder, provocando una desigualdad, si lo que pretenden es vivir en mundo sin hombres, las invito a que hagan su país con sus propias aportaciones que han dado a la sociedad, lo digo porque dicen que son independientes y no necesitan del hombre, los hombres pueden conseguir alguna dama con los mismos valores de la familia con ralativa facilidad, yo no creo que algún hombre acepte ser su esclavo, a pero es cierto las ""mujeres empoderadas"" no tienen hijos me preguntó cuántas generaciones podrán sobrevivir que les valla bonito",[0. 0. 0. ... 0. 0. 0.],pretenden llamar empoderamiento idea infantil ning rito atropellando derecho hombr tomando bien robando puesto tico laboral simplement tener hablan critamentent igualdad encubrir verdadero objetivo tomar posicion poder provocando desigualdad pretenden vivir mundo hombr invito hagan propia aportacion dado sociedad digo dicen independient necesitan hombr hombr pueden conseguir alguna dama mismo valor familia ralativa facilidad creo hombr acept esclavo cierto mujer empoderada hijo pregunt nta generacion podr sobrevivir valla bonito,0.0
49,I4TSXVPr8_8,UCGQpsyD8GXhS59t9oY1mlpg,TE CRE0 QUE SUFRIS DE S0BREPES0,[0. 0. 0. ... 0. 0. 0.],sufri brepe,0.0
51,I4TSXVPr8_8,UC-8vokaaN6hkFPbC1oPwC5w,"La violencia de género es algo serio, no entiendo cómo hay personas que le dan me divierte a este tipo de situaciones en las cuales la mujer es la que agrede a su pareja, pero cuando es el hombre el que lo hace se le van encima 👀🔍 no estoy justificando la violencia bajo ningún concepto. Deberíamos buscar la forma más sana en solucionar los problemas de buena manera sin necesidad de agredir al otr@ ❤️🙏 aplica para todo tipo de relación sentimental, social, familiar, laboral",[0. 0. 0. ... 0. 0. 0.],violencia nero serio entiendo persona diviert tipo situacion cual mujer agred pareja hombr hace encima justificando violencia bajo ning concepto deber amo buscar forma sana solucionar problema buena manera necesidad agredir aplica tipo relaci sentiment social familiar labor,0.0
57,I4TSXVPr8_8,UCvwciKU64Cvxn2z5E-GM5EA,"Tu no has sufrido violencia de género, tu has sufrido a unos padres psicópatas, no creo que fueran a por ti por el hecho de que fueras mujer, más bien tendrían algún tipo de trastorno psicopatico",[0. 0. 0. ... 0. 0. 0.],sufrido violencia nero sufrido padr psic pata creo hecho mujer bien tendr tipo trastorno psicopatico,0.0
60,iokz2R67Azk,UCr0vsbHw54BBm0xGguSPmaA,Igualdad es condenar a toda agresión con una misma condena da igual de donde haya más toda agresión importa vox es la solución para esa Igualdad,[0. 0. 0. ... 0. 0. 0.],igualdad condenar toda agresi misma condena igual toda agresi importa soluci igualdad,0.0
62,iokz2R67Azk,UCATuVVQsa_V4w2c8ktfU_MQ,Osea para evitar que se cometa discriminación criminal a pequeña escala haces leyes discriminatorias a escala nacional,[0. 0. 0. ... 0. 0. 0.],osea evitar cometa discriminaci crimin pequ escala hace ley discriminatoria escala nacion,0.0
63,iokz2R67Azk,UCOpw9RVGEpv7G-wqhLafKkg,"La ley debe ser igual para todos. No como dices tú ""equitativa"" ...",[0. 0. 0. ... 0. 0. 0.],debe igual dice equitativa,0.0
67,iokz2R67Azk,UCMAAgfh2Jg_ebezlXJMznmw,"No representan la verdad absoluta, tienen distorsión cognitiva, pura ideología, debieran hacerles estudios psicologicos y neurocientificos, como asi tambien a los hombres que cumplen funciones legislativas y judiciales, es muy sencillo. Va más allá de una ideología, la ideologia es el síntoma  de la personalidad de base, que justifica con leyes complejas la intencionalidad del síntoma. Más biologia y menos idiologias.

Pregunto ¿Es lo mismo una mujer psiquicamente normal o con tendencias normales? ¿Que una mujer psicotica paranoide querellante? El hombre es vil por naturaleza y la mujet es angelical. Los estudios científicos establecen que la mujer tiene un porcentaje mayor de generar violencia psicológica. 

Es mas fácil fantasear que estudiar al cerebro humano, los cuales a la vez son diferentes, en estructura, funcionamiento, neurotrasmisión, etc; por ello el indice de enfermedades mentales segun la OMS es mayor en las mujeres que en los hombres.
No hay que universalizar (Husserl)",[0. 0. 0. ... 0. 0. 0.],representan verdad absoluta distorsi cognitiva pura ideolog debieran hacerl estudio psicologico neurocientifico tambien hombr cumplen funcion legislativa judicial sencillo ideolog ideologia ntoma personalidad base justifica ley compleja intencionalidad ntoma biologia meno idiologia pregunto mismo mujer psiquicament normal tendencia normal mujer psicotica paranoid querellant hombr naturaleza mujet angel estudio cient fico establecen mujer porcentaj mayor generar violencia psicol gica fantasear estudiar cerebro humano cual diferent estructura funcionamiento neurotrasmisi ello indic enfermedad mental segun mayor mujer hombr universalizar husserl,0.0
70,iokz2R67Azk,UC9vOb8UDM8eu1UHDLAtZ6xw,El país como siempre tirando a favor de la desigualdad. Cuando alguno de ustedes pase una noche en la cárcel por el mero hecho de lo que diga su ex mujer me  lo comentan por aquí,[0. 0. 0. ... 0. 0. 0.],siempr tirando favor desigualdad alguno usted pase noch rcel mero hecho diga mujer comentan,0.0
71,iokz2R67Azk,UCs8Bv_djvje7gIsTPXIqtkw,Equidad apoyo a mujeres por que las mujeres tiene por naturidad más fuerte,[0. 0. 0. ... 0. 0. 0.],equidad apoyo mujer mujer naturidad fuert,0.0
80,VhdvJLKVIHQ,UCISYNPTwHIhUoFbJTJdJ7ww,"LaSecta: ""vamos a hacer un debate viogen/doméstica y para hacerlo "" objetivo"" vamos a invitar como representación de la defensa de la viogen a una subvencionada de la asociación 'Themis' "" 😂😂😂😂😂 Brutal, así no se puede hacer un debate objetivo.",[0. 0. 0. ... 0. 0. 0.],lasecta vamo hacer debat viogen stica hacerlo objetivo vamo invitar representaci defensa viogen subvencionada asociaci themi brutal pued hacer debat objetivo,0.0
82,VhdvJLKVIHQ,UCXuasMmLnz-du0e7X3bpkog,"Entonces si es tu hermano mayor del que viene la violencia, ¿cuál de las dos sería? ¿De género o doméstica?",[0. 0. 0. ... 0. 0. 0.],entonc hermano mayor vien violencia nero stica,0.0
84,VhdvJLKVIHQ,UCBjwWb7FV5gm3GSswB8_Lxg,"¿Desigualdad de siglos?
Esta señora no ha estudiado historia en su vida.

Investiguen por ejemplo los vikingos.

Una sociedad Bárbara pero en donde la mujer podía ejercer de jarl, batallar en guerras o hasta trabajos de herrería.

La egipcia, otra por ejemplo donde una mujer aún estando casada y con hijos; más de lo mismo...

La mujer mantenía su estatus político, social, podía tener sus propiedades y sus negocios. Podía o no compartirlo con su marido.

Señora por favor... Vayase usted al colegio. Que de cultura e historia sabe poco como para hablar de ello.",[0. 0. 0. ... 0. 0. 0.],desigualdad siglo estudiado historia vida investiguen ejemplo vikingo sociedad rbara mujer ejerc jarl batallar guerra trabajo herrer egipcia ejemplo mujer casada hijo mismo mujer manten estatu tico social tener propiedad negocio compartirlo marido favor vayas ust colegio cultura historia sabe hablar ello,0.0
87,VhdvJLKVIHQ,UCMMQ6L9ZdcDB07hrGC-i_Mw,Situaciones antiguas como cuando hombre y mujer eran iguales ante la ley,[0. 0. 0. ... 0. 0. 0.],situacion antigua hombr mujer igual,0.0
92,VhdvJLKVIHQ,UCFbML9m1P1ilC8s8XzO_E2A,"Pero dime que criminal ha confesado que ha matado a una mujer por ser mujer??? La mayoría de las causas son infidelidad, celos, un divorcio etc me lo podrán explicar mil veces pero para mi la violencia de género no existe, es violencia domestica",[0. 0. 0. ... 0. 0. 0.],dime crimin confesado matado mujer mujer mayor causa infidelidad celo divorcio podr explicar vece violencia nero exist violencia domestica,0.0
